Property Name|Default|Meaning|Since Version
spark.executor.memoryOverhead|executorMemory *spark.executor.memoryOverheadFactor, with minimum ofspark.executor.minMemoryOverhead|Amount of additional memory to be allocated per executor process, in MiB unless otherwise specified. This is memory that accounts for things like VM overheads, interned strings, other native overheads, etc. This tends to grow with the executor size (typically 6-10%). This option is currently supported on YARN and Kubernetes.Note:Additional memory includes PySpark executor memory (whenspark.executor.pyspark.memoryis not configured) and memory used by other non-executor processes running in the same container. The maximum memory size of container to running executor is determined by the sum ofspark.executor.memoryOverhead,spark.executor.memory,spark.memory.offHeap.sizeandspark.executor.pyspark.memory.|2.3.0
spark.executor.minMemoryOverhead|384m|The minimum amount of non-heap memory to be allocated per executor process, in MiB unless otherwise specified, ifspark.executor.memoryOverheadis not defined. This option is currently supported on YARN and Kubernetes.|4.0.0
spark.executor.memoryOverheadFactor|0.10|"Fraction of executor memory to be allocated as additional non-heap memory per executor process. This is memory that accounts for things like VM overheads, interned strings, other native overheads, etc. This tends to grow with the container size. This value defaults to 0.10 except for Kubernetes non-JVM jobs, which defaults to 0.40. This is done as non-JVM tasks need more non-JVM heap space and such tasks commonly fail with ""Memory Overhead Exceeded"" errors. This preempts this error with a higher default. This value is ignored ifspark.executor.memoryOverheadis set directly."|3.3.0
spark.executor.resource.{resourceName}.amount|0|Amount of a particular resource type to use per executor process. If this is used, you must also specify thespark.executor.resource.{resourceName}.discoveryScriptfor the executor to find the resource on startup.|3.0.0
spark.executor.resource.{resourceName}.discoveryScript|None|A script for the executor to run to discover a particular resource type. This should write to STDOUT a JSON string in the format of the ResourceInformation class. This has a name and an array of addresses.|3.0.0
spark.executor.resource.{resourceName}.vendor|None|Vendor of the resources to use for the executors. This option is currently only supported on Kubernetes and is actually both the vendor and domain following the Kubernetes device plugin naming convention. (e.g. For GPUs on Kubernetes this config would be set to nvidia.com or amd.com)|3.0.0
spark.extraListeners|(none)|A comma-separated list of classes that implementSparkListener; when initializing SparkContext, instances of these classes will be created and registered with Spark's listener bus. If a class has a single-argument constructor that accepts a SparkConf, that constructor will be called; otherwise, a zero-argument constructor will be called. If no valid constructor can be found, the SparkContext creation will fail with an exception.|1.3.0
spark.local.dir|/tmp|"Directory to use for ""scratch"" space in Spark, including map output files and RDDs that get stored on disk. This should be on a fast, local disk in your system. It can also be a comma-separated list of multiple directories on different disks.Note:This will be overridden by SPARK_LOCAL_DIRS (Standalone) or LOCAL_DIRS (YARN) environment variables set by the cluster manager."|0.5.0
spark.logConf|false|Logs the effective SparkConf as INFO when a SparkContext is started.|0.9.0
spark.master|(none)|The cluster manager to connect to. See the list ofallowed master URL's.|0.9.0
spark.submit.deployMode|client|"The deploy mode of Spark driver program, either ""client"" or ""cluster"", Which means to launch driver program locally (""client"") or remotely (""cluster"") on one of the nodes inside the cluster."|1.5.0
spark.log.callerContext|(none)|Application information that will be written into Yarn RM log/HDFS audit log when running on Yarn/HDFS. Its length depends on the Hadoop configurationhadoop.caller.context.max.size. It should be concise, and typically can have up to 50 characters.|2.2.0
spark.log.level|(none)|"When set, overrides any user-defined log settings as if callingSparkContext.setLogLevel()at Spark startup. Valid log levels include: ""ALL"", ""DEBUG"", ""ERROR"", ""FATAL"", ""INFO"", ""OFF"", ""TRACE"", ""WARN""."|3.5.0
spark.driver.supervise|false|If true, restarts the driver automatically if it fails with a non-zero exit status. Only has effect in Spark standalone mode.|1.3.0
spark.driver.timeout|0min|A timeout for Spark driver in minutes. 0 means infinite. For the positive time value, terminate the driver with the exit code 124 if it runs after timeout duration. To use, it's required to setspark.pluginswithorg.apache.spark.deploy.DriverTimeoutPlugin.|4.0.0
spark.driver.log.localDir|(none)|Specifies a local directory to write driver logs and enable Driver Log UI Tab.|4.0.0
spark.driver.log.dfsDir|(none)|Base directory in which Spark driver logs are synced, ifspark.driver.log.persistToDfs.enabledis true. Within this base directory, each application logs the driver logs to an application specific file. Users may want to set this to a unified location like an HDFS directory so driver log files can be persisted for later usage. This directory should allow any Spark user to read/write files and the Spark History Server user to delete files. Additionally, older logs from this directory are cleaned by theSpark History Serverifspark.history.fs.driverlog.cleaner.enabledis true and, if they are older than max age configured by settingspark.history.fs.driverlog.cleaner.maxAge.|3.0.0
spark.driver.log.persistToDfs.enabled|false|If true, spark application running in client mode will write driver logs to a persistent storage, configured inspark.driver.log.dfsDir. Ifspark.driver.log.dfsDiris not configured, driver logs will not be persisted. Additionally, enable the cleaner by settingspark.history.fs.driverlog.cleaner.enabledto true inSpark History Server.|3.0.0
spark.driver.log.layout|%d{yy/MM/dd HH:mm:ss.SSS} %t %p %c{1}: %m%n%ex|The layout for the driver logs that are synced tospark.driver.log.localDirandspark.driver.log.dfsDir. If this is not configured, it uses the layout for the first appender defined in log4j2.properties. If that is also not configured, driver logs use the default layout.|3.0.0
spark.driver.log.allowErasureCoding|false|Whether to allow driver logs to use erasure coding. On HDFS, erasure coded files will not update as quickly as regular replicated files, so they make take longer to reflect changes written by the application. Note that even if this is true, Spark will still not force the file to use erasure coding, it will simply use file system defaults.|3.0.0
spark.driver.log.redirectConsoleOutputs|stdout,stderr|Comma-separated list of the console output kind for driver that needs to redirect to logging system. Supported values are `stdout`, `stderr`. It only takes affect when `spark.plugins` is configured with `org.apache.spark.deploy.RedirectConsolePlugin`.|4.1.0
spark.decommission.enabled|false|When decommission enabled, Spark will try its best to shut down the executor gracefully. Spark will try to migrate all the RDD blocks (controlled byspark.storage.decommission.rddBlocks.enabled) and shuffle blocks (controlled byspark.storage.decommission.shuffleBlocks.enabled) from the decommissioning executor to a remote executor whenspark.storage.decommission.enabledis enabled. With decommission enabled, Spark will also decommission an executor instead of killing whenspark.dynamicAllocation.enabledenabled.|3.1.0
spark.executor.decommission.killInterval|(none)|Duration after which a decommissioned executor will be killed forcefully by an outside (e.g. non-spark) service.|3.1.0
spark.executor.decommission.forceKillTimeout|(none)|Duration after which a Spark will force a decommissioning executor to exit. This should be set to a high value in most situations as low values will prevent block migrations from having enough time to complete.|3.2.0
spark.executor.decommission.signal|PWR|The signal that used to trigger the executor to start decommission.|3.2.0
spark.executor.maxNumFailures|numExecutors * 2, with minimum of 3|The maximum number of executor failures before failing the application. This configuration only takes effect on YARN and Kubernetes.|3.5.0
spark.executor.failuresValidityInterval|(none)|Interval after which executor failures will be considered independent and not accumulate towards the attempt count. This configuration only takes effect on YARN and Kubernetes.|3.5.0
spark.driver.extraClassPath|(none)|Extra classpath entries to prepend to the classpath of the driver.Note:In client mode, this config must not be set through theSparkConfdirectly in your application, because the driver JVM has already started at that point. Instead, please set this through the--driver-class-pathcommand line option or in your default properties file.|1.0.0
spark.driver.defaultJavaOptions|(none)|A string of default JVM options to prepend tospark.driver.extraJavaOptions. This is intended to be set by administrators. For instance, GC settings or other logging. Note that it is illegal to set maximum heap size (-Xmx) settings with this option. Maximum heap size settings can be set withspark.driver.memoryin the cluster mode and through the--driver-memorycommand line option in the client mode.Note:In client mode, this config must not be set through theSparkConfdirectly in your application, because the driver JVM has already started at that point. Instead, please set this through the--driver-java-optionscommand line option or in your default properties file.|3.0.0
spark.driver.extraJavaOptions|(none)|A string of extra JVM options to pass to the driver. This is intended to be set by users. For instance, GC settings or other logging. Note that it is illegal to set maximum heap size (-Xmx) settings with this option. Maximum heap size settings can be set withspark.driver.memoryin the cluster mode and through the--driver-memorycommand line option in the client mode.Note:In client mode, this config must not be set through theSparkConfdirectly in your application, because the driver JVM has already started at that point. Instead, please set this through the--driver-java-optionscommand line option or in your default properties file.spark.driver.defaultJavaOptionswill be prepended to this configuration.|1.0.0
spark.driver.extraLibraryPath|(none)|Set a special library path to use when launching the driver JVM.Note:In client mode, this config must not be set through theSparkConfdirectly in your application, because the driver JVM has already started at that point. Instead, please set this through the--driver-library-pathcommand line option or in your default properties file.|1.0.0
spark.driver.userClassPathFirst|false|(Experimental) Whether to give user-added jars precedence over Spark's own jars when loading classes in the driver. This feature can be used to mitigate conflicts between Spark's dependencies and user dependencies. It is currently an experimental feature. This is used in cluster mode only.|1.3.0
spark.executor.extraClassPath|(none)|Extra classpath entries to prepend to the classpath of executors. This exists primarily for backwards-compatibility with older versions of Spark. Users typically should not need to set this option.|1.0.0
spark.executor.defaultJavaOptions|(none)|A string of default JVM options to prepend tospark.executor.extraJavaOptions. This is intended to be set by administrators. For instance, GC settings or other logging. Note that it is illegal to set Spark properties or maximum heap size (-Xmx) settings with this option. Spark properties should be set using a SparkConf object or the spark-defaults.conf file used with the spark-submit script. Maximum heap size settings can be set with spark.executor.memory. The following symbols, if present will be interpolated: will be replaced by application ID and will be replaced by executor ID. For example, to enable verbose gc logging to a file named for the executor ID of the app in /tmp, pass a 'value' of:-verbose:gc -Xloggc:/tmp/-.gc|3.0.0
spark.executor.extraJavaOptions|(none)|A string of extra JVM options to pass to executors. This is intended to be set by users. For instance, GC settings or other logging. Note that it is illegal to set Spark properties or maximum heap size (-Xmx) settings with this option. Spark properties should be set using a SparkConf object or the spark-defaults.conf file used with the spark-submit script. Maximum heap size settings can be set with spark.executor.memory. The following symbols, if present will be interpolated: will be replaced by application ID and will be replaced by executor ID. For example, to enable verbose gc logging to a file named for the executor ID of the app in /tmp, pass a 'value' of:-verbose:gc -Xloggc:/tmp/-.gcspark.executor.defaultJavaOptionswill be prepended to this configuration.|1.0.0
spark.executor.extraLibraryPath|(none)|Set a special library path to use when launching executor JVM's.|1.0.0
spark.executor.logs.rolling.maxRetainedFiles|-1|Sets the number of latest rolling log files that are going to be retained by the system. Older log files will be deleted. Disabled by default.|1.1.0
spark.executor.logs.rolling.enableCompression|false|Enable executor log compression. If it is enabled, the rolled executor logs will be compressed. Disabled by default.|2.0.2
spark.executor.logs.rolling.maxSize|1024 * 1024|Set the max size of the file in bytes by which the executor logs will be rolled over. Rolling is disabled by default. Seespark.executor.logs.rolling.maxRetainedFilesfor automatic cleaning of old logs.|1.4.0
spark.executor.logs.rolling.strategy|""""" (disabled)"|"Set the strategy of rolling of executor logs. By default it is disabled. It can be set to ""time"" (time-based rolling) or ""size"" (size-based rolling) or """" (disabled). For ""time"", usespark.executor.logs.rolling.time.intervalto set the rolling interval. For ""size"", usespark.executor.logs.rolling.maxSizeto set the maximum file size for rolling."|1.1.0
spark.executor.logs.rolling.time.interval|daily|Set the time interval by which the executor logs will be rolled over. Rolling is disabled by default. Valid values aredaily,hourly,minutelyor any interval in seconds. Seespark.executor.logs.rolling.maxRetainedFilesfor automatic cleaning of old logs.|1.1.0
spark.executor.logs.redirectConsoleOutputs|stdout,stderr|Comma-separated list of the console output kind for executor that needs to redirect to logging system. Supported values are `stdout`, `stderr`. It only takes affect when `spark.plugins` is configured with `org.apache.spark.deploy.RedirectConsolePlugin`.|4.1.0
spark.executor.userClassPathFirst|false|(Experimental) Same functionality asspark.driver.userClassPathFirst, but applied to executor instances.|1.3.0
spark.executorEnv.[EnvironmentVariableName]|(none)|Add the environment variable specified byEnvironmentVariableNameto the Executor process. The user can specify multiple of these to set multiple environment variables.|0.9.0
spark.redaction.regex|"(?i)secret|password|token|access[.]?key"|Regex to decide which Spark configuration properties and environment variables in driver and executor environments contain sensitive information. When this regex matches a property key or value, the value is redacted from the environment UI and various logs like YARN and event logs.|2.1.2
spark.redaction.string.regex|(none)|Regex to decide which parts of strings produced by Spark contain sensitive information. When this regex matches a string part, that string part is replaced by a dummy value. This is currently used to redact the output of SQL explain commands.|2.2.0
spark.python.profile|false|Enable profiling in Python worker, the profile result will show up bysc.show_profiles(), or it will be displayed before the driver exits. It also can be dumped into disk bysc.dump_profiles(path). If some of the profile results had been displayed manually, they will not be displayed automatically before driver exiting. By default thepyspark.profiler.BasicProfilerwill be used, but this can be overridden by passing a profiler class in as a parameter to theSparkContextconstructor.|1.2.0
spark.python.profile.dump|(none)|The directory which is used to dump the profile result before driver exiting. The results will be dumped as separated file for each RDD. They can be loaded bypstats.Stats(). If this is specified, the profile result will not be displayed automatically.|1.2.0
spark.python.worker.memory|512m|"Amount of memory to use per python worker process during aggregation, in the same format as JVM memory strings with a size unit suffix (""k"", ""m"", ""g"" or ""t"") (e.g.512m,2g). If the memory used during aggregation goes above this amount, it will spill the data into disks."|1.1.0
spark.python.worker.reuse|true|Reuse Python worker or not. If yes, it will use a fixed number of Python workers, does not need to fork() a Python process for every task. It will be very useful if there is a large broadcast, then the broadcast will not need to be transferred from JVM to Python worker for every task.|1.2.0
spark.python.factory.idleWorkerMaxPoolSize|(none)|Maximum number of idle Python workers to keep. If unset, the number is unbounded. If set to a positive integer N, at most N idle workers are retained; least-recently used workers are evicted first.|4.1.0
spark.python.worker.killOnIdleTimeout|false|Whether Spark should terminate the Python worker process when the idle timeout (as defined byspark.python.worker.idleTimeoutSeconds) is reached. If enabled, Spark will terminate the Python worker process in addition to logging the status.|4.1.0
spark.python.worker.tracebackDumpIntervalSeconds|0|The interval (in seconds) for Python workers to dump their tracebacks. If it's positive, the Python worker will periodically dump the traceback into its `stderr`. The default is `0` that means it is disabled.|4.1.0
spark.python.unix.domain.socket.enabled|false|When set to true, the Python driver uses a Unix domain socket for operations like creating or collecting a DataFrame from local data, using accumulators, and executing Python functions with PySpark such as Python UDFs. This configuration only applies to Spark Classic and Spark Connect server.|4.1.0
spark.files||Comma-separated list of files to be placed in the working directory of each executor. Globs are allowed.|1.0.0
spark.submit.pyFiles||Comma-separated list of .zip, .egg, or .py files to place on the PYTHONPATH for Python apps. Globs are allowed.|1.0.1
spark.submit.callSystemExitOnMainExit|false|If true, SparkSubmit will call System.exit() to initiate JVM shutdown once the user's main method has exited. This can be useful in cases where non-daemon JVM threads might otherwise prevent the JVM from shutting down on its own.|4.1.0
spark.jars||Comma-separated list of jars to include on the driver and executor classpaths. Globs are allowed.|0.9.0
spark.jars.packages||Comma-separated list of Maven coordinates of jars to include on the driver and executor classpaths. The coordinates should be groupId:artifactId:version. Ifspark.jars.ivySettingsis given artifacts will be resolved according to the configuration in the file, otherwise artifacts will be searched for in the local maven repo, then maven central and finally any additional remote repositories given by the command-line option--repositories. For more details, seeAdvanced Dependency Management.|1.5.0
spark.jars.excludes||Comma-separated list of groupId:artifactId, to exclude while resolving the dependencies provided inspark.jars.packagesto avoid dependency conflicts.|1.5.0
spark.jars.ivy||Path to specify the Ivy user directory, used for the local Ivy cache and package files fromspark.jars.packages. This will override the Ivy propertyivy.default.ivy.user.dirwhich defaults to ~/.ivy2.|1.3.0
spark.jars.ivySettings||Path to an Ivy settings file to customize resolution of jars specified usingspark.jars.packagesinstead of the built-in defaults, such as maven central. Additional repositories given by the command-line option--repositoriesorspark.jars.repositorieswill also be included. Useful for allowing Spark to resolve artifacts from behind a firewall e.g. via an in-house artifact server like Artifactory. Details on the settings file format can be found atSettings Files. Only paths withfile://scheme are supported. Paths without a scheme are assumed to have afile://scheme.When running in YARN cluster mode, this file will also be localized to the remote driver for dependency resolution withinSparkContext#addJar|2.2.0
spark.jars.repositories||Comma-separated list of additional remote repositories to search for the maven coordinates given with--packagesorspark.jars.packages.|2.3.0
spark.archives||Comma-separated list of archives to be extracted into the working directory of each executor. .jar, .tar.gz, .tgz and .zip are supported. You can specify the directory name to unpack via adding#after the file name to unpack, for example,file.zip#directory. This configuration is experimental.|3.1.0
spark.pyspark.driver.python||Python binary executable to use for PySpark in driver. (default isspark.pyspark.python)|2.1.0
spark.pyspark.python||Python binary executable to use for PySpark in both driver and executors.|2.1.0
spark.reducer.maxSizeInFlight|48m|Maximum size of map outputs to fetch simultaneously from each reduce task, in MiB unless otherwise specified. Since each output requires us to create a buffer to receive it, this represents a fixed memory overhead per reduce task, so keep it small unless you have a large amount of memory.|1.4.0
spark.reducer.maxReqsInFlight|Int.MaxValue|This configuration limits the number of remote requests to fetch blocks at any given point. When the number of hosts in the cluster increase, it might lead to very large number of inbound connections to one or more nodes, causing the workers to fail under load. By allowing it to limit the number of fetch requests, this scenario can be mitigated.|2.0.0
spark.reducer.maxBlocksInFlightPerAddress|Int.MaxValue|This configuration limits the number of remote blocks being fetched per reduce task from a given host port. When a large number of blocks are being requested from a given address in a single fetch or simultaneously, this could crash the serving executor or Node Manager. This is especially useful to reduce the load on the Node Manager when external shuffle is enabled. You can mitigate this issue by setting it to a lower value.|2.2.1
spark.shuffle.compress|true|Whether to compress map output files. Generally a good idea. Compression will usespark.io.compression.codec.|0.6.0
spark.shuffle.file.buffer|32k|Size of the in-memory buffer for each shuffle file output stream, in KiB unless otherwise specified. These buffers reduce the number of disk seeks and system calls made in creating intermediate shuffle files.|1.4.0
spark.shuffle.file.merge.buffer|32k|Size of the in-memory buffer for each shuffle file input stream, in KiB unless otherwise specified. These buffers use off-heap buffers and are related to the number of files in the shuffle file. Too large buffers should be avoided.|4.0.0
spark.shuffle.unsafe.file.output.buffer|32k|Deprecated since Spark 4.0, please usespark.shuffle.localDisk.file.output.buffer.|2.3.0
spark.shuffle.localDisk.file.output.buffer|32k|The file system for this buffer size after each partition is written in all local disk shuffle writers. In KiB unless otherwise specified.|4.0.0
spark.shuffle.spill.diskWriteBufferSize|1024 * 1024|The buffer size, in bytes, to use when writing the sorted records to an on-disk file.|2.3.0
spark.shuffle.io.maxRetries|3|(Netty only) Fetches that fail due to IO-related exceptions are automatically retried if this is set to a non-zero value. This retry logic helps stabilize large shuffles in the face of long GC pauses or transient network connectivity issues.|1.2.0
spark.shuffle.io.numConnectionsPerPeer|1|(Netty only) Connections between hosts are reused in order to reduce connection buildup for large clusters. For clusters with many hard disks and few hosts, this may result in insufficient concurrency to saturate all disks, and so users may consider increasing this value.|1.2.1
spark.shuffle.io.preferDirectBufs|true|(Netty only) Off-heap buffers are used to reduce garbage collection during shuffle and cache block transfer. For environments where off-heap memory is tightly limited, users may wish to turn this off to force all allocations from Netty to be on-heap.|1.2.0
spark.shuffle.io.retryWait|5s|(Netty only) How long to wait between retries of fetches. The maximum delay caused by retrying is 15 seconds by default, calculated asmaxRetries * retryWait.|1.2.1
spark.shuffle.io.backLog|-1|Length of the accept queue for the shuffle service. For large applications, this value may need to be increased, so that incoming connections are not dropped if the service cannot keep up with a large number of connections arriving in a short period of time. This needs to be configured wherever the shuffle service itself is running, which may be outside of the application (seespark.shuffle.service.enabledoption below). If set below 1, will fallback to OS default defined by Netty'sio.netty.util.NetUtil#SOMAXCONN.|1.1.1
spark.shuffle.io.connectionTimeout|value ofspark.network.timeout|Timeout for the established connections between shuffle servers and clients to be marked as idled and closed if there are still outstanding fetch requests but no traffic no the channel for at leastconnectionTimeout.|1.2.0
spark.shuffle.io.connectionCreationTimeout|value ofspark.shuffle.io.connectionTimeout|Timeout for establishing a connection between the shuffle servers and clients.|3.2.0
spark.shuffle.service.enabled|false|Enables the external shuffle service. This service preserves the shuffle files written by executors e.g. so that executors can be safely removed, or so that shuffle fetches can continue in the event of executor failure. The external shuffle service must be set up in order to enable it. Seedynamic allocation configuration and setup documentationfor more information.|1.2.0
spark.shuffle.service.port|7337|Port on which the external shuffle service will run.|1.2.0
spark.shuffle.service.name|spark_shuffle|The configured name of the Spark shuffle service the client should communicate with. This must match the name used to configure the Shuffle within the YARN NodeManager configuration (yarn.nodemanager.aux-services). Only takes effect whenspark.shuffle.service.enabledis set to true.|3.2.0
spark.shuffle.service.index.cache.size|100m|Cache entries limited to the specified memory footprint, in bytes unless otherwise specified.|2.3.0
spark.shuffle.service.removeShuffle|true|Whether to use the ExternalShuffleService for deleting shuffle blocks for deallocated executors when the shuffle is no longer needed. Without this enabled, shuffle data on executors that are deallocated will remain on disk until the application ends.|3.3.0
spark.shuffle.maxChunksBeingTransferred|Long.MAX_VALUE|The max number of chunks allowed to be transferred at the same time on shuffle service. Note that new incoming connections will be closed when the max number is hit. The client will retry according to the shuffle retry configs (seespark.shuffle.io.maxRetriesandspark.shuffle.io.retryWait), if those limits are reached the task will fail with fetch failure.|2.3.0
spark.shuffle.sort.bypassMergeThreshold|200|(Advanced) In the sort-based shuffle manager, avoid merge-sorting data if there is no map-side aggregation and there are at most this many reduce partitions.|1.1.1
spark.shuffle.sort.io.plugin.class|org.apache.spark.shuffle.sort.io.LocalDiskShuffleDataIO|Name of the class to use for shuffle IO.|3.0.0
spark.shuffle.spill.compress|true|Whether to compress data spilled during shuffles. Compression will usespark.io.compression.codec.|0.9.0
spark.shuffle.accurateBlockThreshold|100 * 1024 * 1024|Threshold in bytes above which the size of shuffle blocks in HighlyCompressedMapStatus is accurately recorded. This helps to prevent OOM by avoiding underestimating shuffle block size when fetch shuffle blocks.|2.2.1
spark.shuffle.accurateBlockSkewedFactor|-1.0|A shuffle block is considered as skewed and will be accurately recorded inHighlyCompressedMapStatusif its size is larger than this factor multiplying the median shuffle block size orspark.shuffle.accurateBlockThreshold. It is recommended to set this parameter to be the same asspark.sql.adaptive.skewJoin.skewedPartitionFactor. Set to -1.0 to disable this feature by default.|3.3.0
spark.shuffle.registration.timeout|5000|Timeout in milliseconds for registration to the external shuffle service.|2.3.0
spark.shuffle.registration.maxAttempts|3|When we fail to register to the external shuffle service, we will retry for maxAttempts times.|2.3.0
spark.shuffle.reduceLocality.enabled|true|Whether to compute locality preferences for reduce tasks.|1.5.0
spark.shuffle.mapOutput.minSizeForBroadcast|512k|The size at which we use Broadcast to send the map output statuses to the executors.|2.0.0
spark.shuffle.detectCorrupt|true|Whether to detect any corruption in fetched blocks.|2.2.0
spark.shuffle.detectCorrupt.useExtraMemory|false|If enabled, part of a compressed/encrypted stream will be de-compressed/de-crypted by using extra memory to detect early corruption. Any IOException thrown will cause the task to be retried once and if it fails again with same exception, then FetchFailedException will be thrown to retry previous stage.|3.0.0
spark.shuffle.useOldFetchProtocol|false|Whether to use the old protocol while doing the shuffle block fetching. It is only enabled while we need the compatibility in the scenario of new Spark version job fetching shuffle blocks from old version external shuffle service.|3.0.0
spark.shuffle.readHostLocalDisk|true|If enabled (andspark.shuffle.useOldFetchProtocolis disabled, shuffle blocks requested from those block managers which are running on the same host are read from the disk directly instead of being fetched as remote blocks over the network.|3.0.0
spark.files.io.connectionTimeout|value ofspark.network.timeout|Timeout for the established connections for fetching files in Spark RPC environments to be marked as idled and closed if there are still outstanding files being downloaded but no traffic no the channel for at leastconnectionTimeout.|1.6.0
spark.files.io.connectionCreationTimeout|value ofspark.files.io.connectionTimeout|Timeout for establishing a connection for fetching files in Spark RPC environments.|3.2.0
spark.shuffle.checksum.enabled|true|Whether to calculate the checksum of shuffle data. If enabled, Spark will calculate the checksum values for each partition data within the map output file and store the values in a checksum file on the disk. When there's shuffle data corruption detected, Spark will try to diagnose the cause (e.g., network issue, disk issue, etc.) of the corruption by using the checksum file.|3.2.0
spark.shuffle.checksum.algorithm|ADLER32|The algorithm is used to calculate the shuffle checksum. Currently, it only supports built-in algorithms of JDK, e.g., ADLER32, CRC32 and CRC32C.|3.2.0
spark.shuffle.service.fetch.rdd.enabled|false|Whether to use the ExternalShuffleService for fetching disk persisted RDD blocks. In case of dynamic allocation if this feature is enabled executors having only disk persisted blocks are considered idle afterspark.dynamicAllocation.executorIdleTimeoutand will be released accordingly.|3.0.0
spark.shuffle.service.db.enabled|true|Whether to use db in ExternalShuffleService. Note that this only affects standalone mode.|3.0.0
spark.shuffle.service.db.backend|ROCKSDB|Specifies a disk-based store used in shuffle service local db. Setting as ROCKSDB or LEVELDB (deprecated).|3.4.0
spark.eventLog.logBlockUpdates.enabled|false|Whether to log events for every block update, ifspark.eventLog.enabledis true. *Warning*: This will increase the size of the event log considerably.|2.3.0
spark.eventLog.longForm.enabled|false|If true, use the long form of call sites in the event log. Otherwise use the short form.|2.4.0
spark.eventLog.compress|true|Whether to compress logged events, ifspark.eventLog.enabledis true.|1.0.0
spark.eventLog.compression.codec|zstd|The codec to compress logged events. By default, Spark provides four codecs:lz4,lzf,snappy, andzstd. You can also use fully qualified class names to specify the codec, e.g.org.apache.spark.io.LZ4CompressionCodec,org.apache.spark.io.LZFCompressionCodec,org.apache.spark.io.SnappyCompressionCodec, andorg.apache.spark.io.ZStdCompressionCodec.|3.0.0
